LncRNA name,Cancer name,Expression pattern,Methods,Pubmed ID,No. of Transcript variants (lncRNAs),LncRNA aliases
ADAMTS9-AS2,Colorectal Cancer,down-regulated,qPCR etc.,27596298,1,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585
ADAMTS9-AS2,Ovarian Cancer,down-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP, RNAi, other",30268751,1,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585
ADAMTS9-AS2,Gastric Cancer,down-regulated,"qPCR, Western blot",32160650,1,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585
ADAMTS9-AS2,Gastric Cancer,down-regulated,"qPCR, Western blot",30089248,1,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585
ADAMTS9-AS2,Tongue Squamous Cell Carcinoma,up-regulated,"qPCR, Microarray, Western blot",30970517,1,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585
ADAMTS9-AS2,Non Small Cell Lung Cancer,down-regulated,"Microarray, qPCR etc.",25590602,1,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585
ADAMTS9-AS2,Lung Cancer,down-regulated,"Microarray, qPCR, Western blot etc",29707897,1,ADAMTS9 antisense RNA 2;ADAMTS9 antisense RNA 2 (non-protein coding);NONHSAG035335.2;ADAMTS9-AS2;HSALNG0026583;HSALNG0026595;lnc-ATXN7-15;HSALNG0026585
ADARB2-AS1,Intraductal Papillary Mucinous Neoplasms Of The Pancreas,differential expression,qPCR etc.,28874676,2,C10orf109; NCRNA00168
ADPGK-AS1,Colorectal Cancer,up-regulated,"qPCR, Luciferase reporter assay etc",32196589,1,ADPGK antisense RNA 1;ADPGK antisense RNA 1 (non-protein coding);NONHSAG017366.2;ADPGK-AS1;HSALNG0107094
ADPGK-AS1,Pancreatic Cancer,up-regulated,"Microarray, qPCR, Western blot etc.",29667486,1,ADPGK antisense RNA 1;ADPGK antisense RNA 1 (non-protein coding);NONHSAG017366.2;ADPGK-AS1;HSALNG0107094
ADPGK-AS1,Gastric Cancer,up-regulated,"qPCR, Luciferase reporter assay, Western blot, RIP",30944080,1,ADPGK antisense RNA 1;ADPGK antisense RNA 1 (non-protein coding);NONHSAG017366.2;ADPGK-AS1;HSALNG0107094
AFAP1-AS1,Colorectal Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown, RIP",29888110,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Colorectal Cancer,up-regulated,qRT-PCR etc.,31132513,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Colon Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown, etc.",30588252,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Colorectal Cancer,up-regulated,qPCR etc.,27596298,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Colorectal Cancer,up-regulated,"qPCR, RNAi etc.",27261589,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Colorectal Cancer,up-regulated,"qPCR, RNAi, Western blot, MTT assay etc.",27578191,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Colorectal Cancer,up-regulated,"qPCR, ChIP, RIP, Western blot, etc.",29888110,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Ovarian Cancer,up-regulated,"qPCR, Flow cytometry assay, Cell proliferation assay etc.",28051261,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Pancreatic Cancer,down-regulated,"qPCR, Western blo, Luciferase reporter assay, other",30206930,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Pancreatic Ductal Adenocarcinoma,up-regulated,qPCR etc.,25925763,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Pancreatic Ductal Adenocarcinoma,up-regulated,"Microarray, qPCR, Cell proliferation assay etc.",27628540,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Pancreatic Cancer,up-regulated,"qPCR, RNA-seq",30814490,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Cervical Cancer,up-regulated,RNA-seq,30816545,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,up-regulated,qRT-PCR,32051698,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,up-regulated,"qRT-PCR, Western blot, RIP",32016968,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown",29805596,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,up-regulated,qPCR etc.,31785996,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,down-regulated,qRT-PCR etc.,31086663,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,up-regulated,"qPCR, other",31452798,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,up-regulated,"qPCR, Western blot, etc.",28975981,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,up-regulated,"qPCR, Western blot etc.",28451917,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Gastric Cancer,up-regulated,"qPCR, Western blot etc.",29805596,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Laryngeal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay",29971915,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Oral Squamous Cell Carcinoma,up-regulated,"qRT-PCR, Western blot",31875436,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Nasopharyngeal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RNAi, other",30326930,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Tongue Squamous Cell Carcinoma,up-regulated,"qPCR, Western blot, in vitro knockdown",29310682,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Nasopharyngeal Cancer,down-regulated,qPCR etc.,28467811,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Nasopharyngeal Cancer,up-regulated,"Microarray, qPCR, RNAi, Western blot, ISH etc.",26246469,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Laryngeal Squamous Cell Cancer,up-regulated,"qPCR, Luciferase reporter assay, Western blot, etc.",29971915,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,up-regulated,qPCR,29963138,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,up-regulated,"RNA-seq, qPCR, Western blot, in vitro knockdown, RIP",29793547,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,up-regulated,"RT-PCR, Luciferase Reporter Assay, RIP, Western blot analysis",31696057,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,up-regulated,"qRT-PCR , RIP , Western blot , RNAi , in vitro knockdown etc.",31069893,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Luciferase reporter assay, RNA-seq, other",30293090,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, RNAi, other",30278439,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,up-regulated,qPCR,29080690,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Lung Squamous Cell Carcinoma,up-regulated,"qPCR, RNAi, Cell proliferation assay etc.",27797003,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Lung Cancer,up-regulated,"RNA-seq, qPCR, Western blot etc.",26245991,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,up-regulated,qPCR etc.,26463625,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Lung Adenocarcinoma,up-regulated,qPCR etc.,28670387,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Lung Adenocarcinoma,up-regulated,"RNA-seq, qPCR etc.",27826625,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Lung Cancer,up-regulated,"qPCR, Western blot",29212176,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Lung Adenocarcinoma,up-regulated,"qPCR, RNAi, Cell proliferation assay etc.",27797003,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, RIP etc.",29793547,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Non Small Cell Lung Cancer,up-regulated,"qPCR, etc.",29963138,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Cholangiocarcinoma,up-regulated,"qPCR, Western blot",28535506,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, Flow cytometry assay etc.",26892468,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Cholangiocarcinoma,up-regulated,"qPCR, Western blot, in vitro knockdown",28938565,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, Cell proliferation assay etc.",26803513,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Prostate Cancer,up-regulated,"qRT-PCR, RIP, Luciferase reporter gene assay, Western blot",31669642,1,AFAP1AS; AFAP1-AS
AFAP1-AS1,Prostate Cancer,up-regulated,"qRT-PCR , Western blot , in vitro knockdown etc.",31081081,1,AFAP1AS; AFAP1-AS
AFDN-DT,Gastric Cancer,up-regulated,RT-qPCR,31981317,1,HGC6.4; XBP1SBM; AFDN-AS1; C6orf124; MLLT4-AS1; dJ431P23.3
AGAP2-AS1,Colorectal Cancer,up-regulated,"qPCR, Western blot, RIP, Luciferase reporter assay etc",32202509,1,PUNISHER
AGAP2-AS1,Ovarian Cancer,up-regulated,qPCR,31233485,1,PUNISHER
AGAP2-AS1,Gastric Cancer,up-regulated,"qPCR, RNAi, Western blot, RIP, ChIP, Luciferase reporter assay, Cell proliferation assay, Cell migration and invasion assay etc.",28209205,1,PUNISHER
AGAP2-AS1,Non Small Cell Lung Cancer,up-regulated,"qRT-PCR, Western blot",32015683,1,PUNISHER
AGAP2-AS1,Non Small Cell Lung Cancer,up-regulated,qPCR,28617550,1,PUNISHER
AGAP2-AS1,Non Small Cell Lung Cancer,up-regulated,"qPCR, RNAi, Western blot, Flow cytometry assay etc.",27195672,1,PUNISHER
AGAP2-AS1,Hepatocellular Carcinoma,up-regulated,"qRT-PCR , Luciferase reporter assay , Western blot , RIP , in vitro knockdown etc.",31088485,1,PUNISHER
"aHIF ",Hepatocellular Carcinoma,down-regulated,"Microarray, qPCR etc.",27894309,1,aHIF; 3'aHIF-1A; HIF1A-AS2
"aHIF",Epithelial Ovarian Cancer,up-regulated,"qRT-PCR, Western blotting etc.",31571921,1,aHIF; 3'aHIF-1A; HIF1A-AS2
"aHIF",Epithelial Ovarian Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown, etc.",30588022,1,aHIF; 3'aHIF-1A; HIF1A-AS2
AKR7L,Gastric Cancer,down-regulated,"Microarray, qPCR, RNAi etc.",25765901,2,AFAR3; AKR7A4; AFB1-AR3; AFB1-AR 3
ANCR,Nasopharyngeal Cancer,up-regulated,"qPCR, Western blot, RIP, etc.",30568463,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
"ANCR ",Hepatocellular Carcinoma,up-regulated,"qRT-PCR, RIP, Western blotting, Dual luciferase reporter gene assay",31868085,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR
"ANCR",Colorectal Cancer,up-regulated,"qPCR, RNAi, Western blot, RNA pull-down assay etc.",27983539,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR
"ANCR",Pancreatic Cancer,up-regulated,"qRT-PCR, Western blot",31804607,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR
"ANCR",Pancreatic Ductal Adenocarcinoma,up-regulated,"qPCR, Luciferase reporter assay, in vitro knockdown, etc.",30519037,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR
"ANCR",Pancreatic Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay",31267381,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR
"ANCR",Pancreatic Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",31213582,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR
"ANCR",Gastric Cancer,up-regulated,"qRT-PCR, Western blot, RIP",31894487,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR
"ANCR",Non Small Cell Lung Cancer,up-regulated,"qRT-PCR, RIP",32096155,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR
"ANCR",Non Small Cell Lung Cancer,down-regulated,"qPCR, Western blot",30154397,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR
ANRASSF1,Cervical Cancer,differential expression,"RNA-seq, qPCR, RNAi, Western blot, RIP, ChIP, Cell proliferation assay etc.",23990798,1,ANRASSF1
"ANRASSF1 ",Prostate Cancer,up-regulated,"RNA-seq, qPCR, RNAi, Western blot, RIP, ChIP, Cell proliferation assay etc.",23990798,1,ANRASSF1; RASSF1-AS1
ANRIL,Pancreatic Cancer,differentially expressed,"Luciferase, etc.",30604909,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Intraductal Papillary Mucinous Neoplasms Of The Pancreas,differential expression,"qPCR, etc.",28874676,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Pancreatic Cancer,up-regulated,"qPCR, Cell transfection, Western blot, Cell migration and invasion assay etc.",28344092,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Laryngeal Squamous Cell Cancer,up-regulated,"RT-qPCR, Western blot, Dual luciferase reporter assay",31960744,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Laryngeal Squamous Cell Cancer,up-regulated,"Dual luciferase reporter assay, qRT-PCR, Western blotting",31667207,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Head And Neck Squamous Cell Carcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",30555745,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Oral Squamous Cell Carcinoma,up-regulated,"RNA-seq, qPCR, Western blot",31364119,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Oral Squamous Cancer,down-regulated,"qPCR, Western blot, etc.",29176691,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Laryngeal Squamous Cell Cancer,up-regulated,qPCR etc.,25257554,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Oral Cancer,up-regulated,"qPCR, Luciferase reporter assay, in vitro knockdown etc.",29635126,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Nasopharyngeal Cancer,up-regulated,"RT-qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP",29463902,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Nasopharyngeal Cancer,up-regulated,"qPCR, RNAi, Luciferase reporter assay, MTT assay etc.",28117929,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Nasopharyngeal Cancer,up-regulated,"qPCR, Luciferase reporter assays",28402230,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Nasopharyngeal Cancer,up-regulated,"qPCR, RNAi, Western blot, MTT assay etc.",27557514,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Lung Cancer,up-regulated,"qPCR, RNAi, Western blot, Cell apoptosis assay etc.",25964559,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Lung Adenocarcinoma,up-regulated,"qPCR, Western blot etc.",28402932,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Non Small Cell Lung Cancer,up-regulated,qPCR etc.,29504701,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Non Small Cell Lung Cancer,up-regulated,"qPCR, RNAi etc.",26408699,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Non Small Cell Lung Cancer,up-regulated,"qPCR, RNAi, Western blot, Luciferase reporter assay etc.",27307748,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Non Small Cell Lung Cancer,up-regulated,"qPCR, RNAi, Cell proliferation assay etc.",25889788,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot etc.",25504755,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
"ANRIL ",Hepatocellular Carcinoma,up-regulated,"qRT-PCR, Western blot, Luciferase Activity Assay, RIP",31679275,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL ",Hepatocellular Carcinoma,up-regulated,"qRT-PCR, Western blotting, Luciferase reporter analysis, RIP",31670868,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL ",Hepatocellular Carcinoma,up-regulated,"qRT-PCR , Luciferase reporter assay , Western blot etc.",31609763,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL ",Hepatocellular Carcinoma,down-regulated,"qPCR, Western blot, other",30249208,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL ",Hepatocellular Carcinoma,up-regulated,"Microarray, qPCR etc.",27894309,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL ",Hepatocellular Carcinoma,up-regulated,"qRT-PCR, Luciferase reporter assay, in vitro knockdown, RIP",29127494,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL ",Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot etc.",29029488,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL ",Hepatocellular Carcinoma,up-regulated,"qPCR, RNAi etc.",26045820,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL ",Hepatocellular Carcinoma,up-regulated,"qPCR, RNAi, Western blot, RIP etc.",25966845,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL ",Hepatocellular Carcinoma,up-regulated,"qPCR, RNAi, Western blot, RIP, ChIP, Flow cytometry assay, Cell proliferation assay etc.",27391317,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Colorectal Cancer,up-regulated,"qPCR, Luciferase reporter assay, other",30279206,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Colon Cancer,up-regulated,"qPCR, RNAi, Western blot, ChIP, Luciferase reporter assay, Cell proliferation assay etc.",23416462,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Colorectal Cancer,up-regulated,"qPCR, RNAi etc.",26708220,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Colorectal Cancer,up-regulated,"qPCR, RNAi, Western blot, Northern blot etc.",27286457,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Colorectal Cancer,up-regulated,"qPCR, RNAi etc.",27314206,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Ovarian Cancer,up-regulated,"qRT-PCR , Luciferase reporter assay , Western blot etc.",31189742,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Ovarian Cancer,up-regulated,"qPCR, Western blot etc.",27095571,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Cervical Cancer,up-regulated,"qPCR, RNAi etc.",26408699,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Cervical Cancer,up-regulated,qPCR etc.,22487937,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Cervical Cancer,up-regulated,"qPCR, Luciferase Reporter Assay",28550682,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Cervical Cancer,up-regulated,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",27899255,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Gastric Cancer,up-regulated,"qPCR, Western blot",30156609,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Gastric Cancer,up-regulated,"qPCR, Western blot, other",30431129,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Gastric Cancer,up-regulated,"qPCR, Western blot",31242038,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Gastric Cancer,up-regulated,"qPCR, RNAi, Western blot, RIP etc.",24810364,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Gastric Cancer,up-regulated,"qPCR, RNAi, Western blot, Luciferase reporter assay, Cell proliferation assay etc.",27027260,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Gastric Cancer,up-regulated,"qPCR, RNAi etc.",27121324,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Prostate Cancer,up-regulated,qPCR etc.,20541999,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Prostate Cancer,up-regulated,"RT-PCR, Western blot, in vitro knockdown",29278879,14,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
AP5M1,Gastric Cancer,up-regulated,"qPCR, RNAi etc.",29719612,1,Mu5; MuD; MUDENG; C14orf108
ARAP1-AS1,Gastric Cancer,up-regulated,RT-PCR,32141550,1,CENTD2; cnt-d2
ARHGAP22-IT1,Lung Adenocarcinoma,up-regulated,"Microarray, qPCR",30151992,1,ARHGAP22 intronic transcript 1;FLJ35752;ARHGAP22 intronic transcript 1 (non-protein coding);HSALNG0077845;NONHSAG005850.2;ARHGAP22-IT1
ARHGAP27P1,Gastric Cancer,down-regulated,"RT-qPCR, Western blot, RIP",31665700,1,Rho GTPase activating protein 27 pseudogene 1;loc146880;SH3 domain containing 20 pseudogene
ARHGAP5-AS1,Gastric Cancer,up-regulated,"qRT-PCR, RIP etc.",31097692,1,C14orf128
ARlnc1,Prostate Cancer,differential expression,"RNA-seq, Microarray, qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi, RIP",29808028,2,PRCAT47; LINC02170
ARlnc1,Prostate Cancer,differential expression,"RNA-seq, qPCR, Northern blot etc.",29808028,2,PRCAT47; LINC02170
ASAP1-IT1,Epithelial Ovarian Cancer,differential expression,qPCR etc.,27667152,1,ASAP1IT; HSPC054; ASAP1-IT; ASAP1IT1; DDEF1IT1; NCRNA00050
